Folder Name,File Count,Subdirectory Count
../results_A100D-2-20C/faster_rcnn_R_101_C4_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_C4_3x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_C4_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_101_C4_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x_chunks_IPB_32_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x_chunks_IPB_32_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_C4_1x_chunks_IPB_16_MI_500,11,2
../results_A100D-2-20C/faster_rcnn_R_50_C4_1x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_C4_1x_chunks_IPB_64_MI_500,2,0
../results_A100D-2-20C/faster_rcnn_R_50_C4_1x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_C4_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_C4_3x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_C4_3x_chunks_IPB_64_MI_500,2,0
../results_A100D-2-20C/faster_rcnn_R_50_C4_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x_chunks_IPB_8_MI_500,11,2
../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x_chunks_IPB_16_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x_chunks_IPB_32_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x_chunks_IPB_16_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x_chunks_IPB_32_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x_chunks_IPB_8_MI_500,11,1
../results_A100D-2-20C/retinanet_R_101_FPN_3x_chunks_IPB_16_MI_500,5,0
../results_A100D-2-20C/retinanet_R_101_FPN_3x_chunks_IPB_32_MI_500,1,0
../results_A100D-2-20C/retinanet_R_101_FPN_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/retinanet_R_101_FPN_3x_chunks_IPB_8_MI_500,5,0
../results_A100D-2-20C/retinanet_R_50_FPN_1x_chunks_IPB_16_MI_1000,5,0
../results_A100D-2-20C/retinanet_R_50_FPN_1x_chunks_IPB_16_MI_500,5,0
../results_A100D-2-20C/retinanet_R_50_FPN_1x_chunks_IPB_32_MI_500,2,0
../results_A100D-2-20C/retinanet_R_50_FPN_1x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/retinanet_R_50_FPN_1x_chunks_IPB_8_MI_500,5,0
../results_A100D-2-20C/retinanet_R_50_FPN_3x_chunks_IPB_16_MI_500,5,0
../results_A100D-2-20C/retinanet_R_50_FPN_3x_chunks_IPB_32_MI_500,2,0
../results_A100D-2-20C/retinanet_R_50_FPN_3x_chunks_IPB_64_MI_500,1,0
../results_A100D-2-20C/retinanet_R_50_FPN_3x_chunks_IPB_8_MI_500,5,1
